ablation,seed,success,containment_rate,cascade_rate,state_corruption,subgoal_corruption,damage_rate,false_halt,missed_failure,recovery_success,escalation_precision,containment_latency,ece,regret,utility,groups
full_risk_calibrated_hierarchical_containment_v5,0,0.851562,0.635417,0.045139,0.002604,0.002604,0.001736,0.009549,0.149306,0.53125,0.703993,0.531227,0.003252,0.000000,0.792609,192
full_risk_calibrated_hierarchical_containment_v5,1,0.840278,0.655382,0.046875,0.002604,0.002604,0.000868,0.00434,0.137153,0.536458,0.733507,0.53193,0.003336,0.000000,0.792637,192
full_risk_calibrated_hierarchical_containment_v5,2,0.840278,0.66059,0.044271,0.001736,0.001736,0.003472,0.002604,0.151042,0.539062,0.721354,0.531465,0.003233,0.000000,0.787052,192
full_risk_calibrated_hierarchical_containment_v5,3,0.822049,0.659722,0.051215,0.003472,0.001736,0.005208,0.006944,0.142361,0.529514,0.736111,0.531059,0.003297,0.000000,0.763753,192
full_risk_calibrated_hierarchical_containment_v5,4,0.852431,0.644097,0.048611,0.002604,0.001736,0.0,0.006944,0.146701,0.508681,0.738715,0.530406,0.003346,0.000000,0.796788,192
full_risk_calibrated_hierarchical_containment_v5,5,0.835938,0.647569,0.042535,0.000868,0.002604,0.002604,0.003472,0.142361,0.528646,0.710069,0.5312,0.003261,0.000000,0.785845,192
full_risk_calibrated_hierarchical_containment_v5,6,0.847222,0.65625,0.051215,0.003472,0.00434,0.000868,0.006076,0.124132,0.539931,0.724826,0.531363,0.003151,0.000000,0.800913,192
full_risk_calibrated_hierarchical_containment_v5,7,0.844618,0.652778,0.040799,0.000868,0.003472,0.001736,0.005208,0.134549,0.543403,0.737847,0.530994,0.00332,0.000000,0.801715,192
full_risk_calibrated_hierarchical_containment_v5,8,0.840278,0.658854,0.052083,0.005208,0.002604,0.000868,0.006076,0.172743,0.546007,0.722222,0.531117,0.003227,0.000000,0.771548,192
full_risk_calibrated_hierarchical_containment_v5,9,0.829861,0.661458,0.048611,0.000868,0.00434,0.002604,0.005208,0.150174,0.532986,0.734375,0.531097,0.003345,0.000000,0.773636,192
no_corruption_predictor,0,0.741319,0.541667,0.107639,0.050347,0.048611,0.032118,0.012153,0.222222,0.478299,0.607639,0.576255,0.005231,0.101852,0.508024,192
no_corruption_predictor,1,0.722222,0.547743,0.09375,0.046875,0.034722,0.024306,0.020833,0.234375,0.46875,0.605035,0.576994,0.005368,0.101789,0.504341,192
no_corruption_predictor,2,0.713542,0.553819,0.092882,0.045139,0.03125,0.023438,0.013889,0.22309,0.484375,0.590278,0.57691,0.005338,0.101559,0.509017,192
no_corruption_predictor,3,0.732639,0.570312,0.077257,0.045139,0.038194,0.013021,0.018229,0.237847,0.460938,0.572049,0.577489,0.005592,0.101762,0.536071,192
no_corruption_predictor,4,0.710938,0.549479,0.100694,0.038194,0.033854,0.022569,0.019965,0.241319,0.484375,0.59809,0.57711,0.005362,0.101319,0.493816,192
no_corruption_predictor,5,0.709201,0.582465,0.087674,0.045139,0.039062,0.028646,0.013889,0.222222,0.487847,0.595486,0.576926,0.005322,0.101711,0.502712,192
