method,risk_budget,covered,ci95_covered,success,ci95_success,containment_rate,ci95_containment_rate,cascade_rate,ci95_cascade_rate,state_corruption,ci95_state_corruption,subgoal_corruption,ci95_subgoal_corruption,damage_rate,ci95_damage_rate,false_halt,ci95_false_halt,missed_failure,ci95_missed_failure,recovery_success,ci95_recovery_success,escalation_precision,ci95_escalation_precision,containment_latency,ci95_containment_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility,groups
causal_event_graph_containment,0.12,0.324306,0.00316,0.218056,0.010122,0.175174,0.006075,0.124826,0.008123,0.046875,0.007029,0.053299,0.006046,0.017708,0.005042,0.039583,0.00389,0.73941,0.008139,0.151215,0.007128,0.578819,0.00694,0.680117,0.000516,0.034737,9.2e-05,0.697222,0.009747,-0.349212,0.012265,10
causal_event_graph_containment,0.18,0.718576,0.004166,0.481424,0.010372,0.372049,0.012549,0.124826,0.008123,0.046875,0.007029,0.053299,0.006046,0.017708,0.005042,0.039583,0.00389,0.452084,0.010727,0.311458,0.009356,0.578819,0.00694,0.680117,0.000516,0.034737,9.2e-05,0.433854,0.011814,0.080615,0.014784,10
causal_event_graph_containment,0.24,0.955382,0.001761,0.64566,0.012777,0.478125,0.010223,0.124826,0.008123,0.046875,0.007029,0.053299,0.006046,0.017708,0.005042,0.039583,0.00389,0.300174,0.011771,0.404688,0.012635,0.578819,0.00694,0.680117,0.000516,0.034737,9.2e-05,0.269618,0.011832,0.333193,0.018268,10
causal_event_graph_containment,0.3,1.0,0.0,0.675,0.013505,0.496528,0.008442,0.124826,0.008123,0.046875,0.007029,0.053299,0.006046,0.017708,0.005042,0.039583,0.00389,0.274826,0.011722,0.41875,0.012791,0.578819,0.00694,0.680117,0.000516,0.034737,9.2e-05,0.240278,0.012734,0.37711,0.019288,10
failure_aware_hierarchical_controller,0.12,0.029514,0.001604,0.018229,0.003054,0.013889,0.001829,0.152778,0.011907,0.074132,0.005149,0.079514,0.006551,0.037674,0.003865,0.065799,0.005969,0.976042,0.002526,0.012674,0.001686,0.52934,0.016036,0.717801,0.00027,0.061153,7.4e-05,0.897049,0.007352,-0.768595,0.009708,10
failure_aware_hierarchical_controller,0.18,0.311285,0.005224,0.207118,0.00366,0.147917,0.007062,0.152778,0.011907,0.074132,0.005149,0.079514,0.006551,0.037674,0.003865,0.065799,0.005969,0.760938,0.006974,0.122569,0.008276,0.52934,0.016036,0.717801,0.00027,0.061153,7.4e-05,0.70816,0.009151,-0.456593,0.011269,10
failure_aware_hierarchical_controller,0.24,0.688195,0.003094,0.44184,0.006619,0.314757,0.008932,0.152778,0.011907,0.074132,0.005149,0.079514,0.006551,0.037674,0.003865,0.065799,0.005969,0.49132,0.006356,0.26684,0.011467,0.52934,0.016036,0.717801,0.00027,0.061153,7.4e-05,0.473438,0.00934,-0.069429,0.007097,10
failure_aware_hierarchical_controller,0.3,0.939063,0.002658,0.602431,0.012425,0.42066,0.007139,0.152778,0.011907,0.074132,0.005149,0.079514,0.006551,0.037674,0.003865,0.065799,0.005969,0.330556,0.007763,0.353472,0.014912,0.52934,0.016036,0.717801,0.00027,0.061153,7.4e-05,0.312847,0.015443,0.182297,0.014491,10
hierarchical_pomdp_monitor,0.12,0.191493,0.00451,0.129167,0.004064,0.097222,0.006633,0.13993,0.007032,0.057465,0.0077,0.062327,0.004824,0.032813,0.004877,0.041146,0.005785,0.846875,0.006452,0.083507,0.006284,0.558681,0.017512,0.702632,0.000308,0.040275,0.000102,0.786111,0.008709,-0.541684,0.009915,10
hierarchical_pomdp_monitor,0.18,0.593577,0.003976,0.395486,0.013187,0.291493,0.007931,0.13993,0.007032,0.057465,0.0077,0.062327,0.004824,0.032813,0.004877,0.041146,0.005785,0.551389,0.007123,0.241667,0.011487,0.558681,0.017512,0.702632,0.000308,0.040275,0.000102,0.519792,0.016625,-0.105571,0.017309,10
