method,split,task,regime,seed,episodes,low_load,mid_load,high_load,cascade_load,budget_load,delay_load,false_halt_load,damage_load,success,containment_rate,cascade_rate,state_corruption,subgoal_corruption,damage_rate,false_halt,missed_failure,recovery_success,escalation_precision,containment_latency,ece,regret,utility
flat_behavior_clone,nominal,contact_rich_insertion,low_level_skill_anomaly,0,6,0.507501,0.136631,0.089654,0.141936,0.18564,0.06552,0.11528,0.210974,0.5,0.166667,0.333333,0.0,0.166667,0.0,0.333333,0.0,0.166667,0.333333,0.777063,0.075625,0.333333,-0.003672
flat_behavior_clone,nominal,contact_rich_insertion,low_level_skill_anomaly,1,6,0.507501,0.136631,0.089654,0.141936,0.18564,0.06552,0.11528,0.210974,0.333333,0.0,0.166667,0.166667,0.166667,0.0,0.0,0.333333,0.166667,0.166667,0.768352,0.074963,0.666667,-0.1869
flat_behavior_clone,nominal,contact_rich_insertion,low_level_skill_anomaly,2,6,0.507501,0.136631,0.089654,0.141936,0.18564,0.06552,0.11528,0.210974,0.333333,0.0,0.333333,0.0,0.0,0.0,0.0,0.5,0.333333,0.0,0.775693,0.074514,0.333334,-0.196558
flat_behavior_clone,nominal,contact_rich_insertion,low_level_skill_anomaly,3,6,0.507501,0.136631,0.089654,0.141936,0.18564,0.06552,0.11528,0.210974,0.333333,0.166667,0.333333,0.166667,0.0,0.166667,0.166667,0.333333,0.0,0.166667,0.763378,0.07683,0.666667,-0.455519
flat_behavior_clone,nominal,contact_rich_insertion,low_level_skill_anomaly,4,6,0.507501,0.136631,0.089654,0.141936,0.18564,0.06552,0.11528,0.210974,0.666667,0.333333,0.0,0.333333,0.0,0.333333,0.0,0.333333,0.166667,0.166667,0.777898,0.074331,0.166666,-0.079852
flat_behavior_clone,nominal,contact_rich_insertion,low_level_skill_anomaly,5,6,0.507501,0.136631,0.089654,0.141936,0.18564,0.06552,0.11528,0.210974,0.333333,0.333333,0.166667,0.166667,0.0,0.0,0.166667,0.333333,0.5,0.333333,0.782302,0.07792,0.666667,-0.120423
flat_behavior_clone,nominal,contact_rich_insertion,low_level_skill_anomaly,6,6,0.507501,0.136631,0.089654,0.141936,0.18564,0.06552,0.11528,0.210974,0.5,0.0,0.5,0.0,0.166667,0.166667,0.0,0.5,0.166667,0.333333,0.782902,0.078107,0.333333,-0.383855
flat_behavior_clone,nominal,contact_rich_insertion,low_level_skill_anomaly,7,6,0.507501,0.136631,0.089654,0.141936,0.18564,0.06552,0.11528,0.210974,0.5,0.333333,0.0,0.0,0.0,0.0,0.166667,0.0,0.333333,0.833333,0.764536,0.077321,0.333333,0.404779
flat_behavior_clone,nominal,contact_rich_insertion,low_level_skill_anomaly,8,6,0.507501,0.136631,0.089654,0.141936,0.18564,0.06552,0.11528,0.210974,1.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.782114,0.07547,0.0,0.570133
flat_behavior_clone,nominal,contact_rich_insertion,low_level_skill_anomaly,9,6,0.507501,0.136631,0.089654,0.141936,0.18564,0.06552,0.11528,0.210974,0.666667,0.0,0.166667,0.0,0.0,0.0,0.0,0.333333,0.333333,0.333333,0.772595,0.078761,0.333333,0.330869
flat_behavior_clone,nominal,contact_rich_insertion,mid_level_subgoal_corruption,0,6,0.253751,0.472954,0.18927,0.260216,0.25116,0.09282,0.14672,0.238493,0.666667,0.333333,0.0,0.166667,0.166667,0.166667,0.166667,0.333333,0.166667,0.333333,0.821822,0.086755,0.166666,0.035004
flat_behavior_clone,nominal,contact_rich_insertion,mid_level_subgoal_corruption,1,6,0.253751,0.472954,0.18927,0.260216,0.25116,0.09282,0.14672,0.238493,0.333333,0.5,0.333333,0.166667,0.0,0.0,0.166667,0.333333,0.666667,0.0,0.823565,0.083085,0.666667,-0.214779
flat_behavior_clone,nominal,contact_rich_insertion,mid_level_subgoal_corruption,2,6,0.253751,0.472954,0.18927,0.260216,0.25116,0.09282,0.14672,0.238493,0.333333,0.166667,0.166667,0.5,0.166667,0.166667,0.0,0.666667,0.166667,0.333333,0.817308,0.086388,0.666667,-0.678501
flat_behavior_clone,nominal,contact_rich_insertion,mid_level_subgoal_corruption,3,6,0.253751,0.472954,0.18927,0.260216,0.25116,0.09282,0.14672,0.238493,0.5,0.166667,0.166667,0.166667,0.0,0.333333,0.0,0.5,0.166667,0.333333,0.821761,0.08758,0.333333,-0.35422
flat_behavior_clone,nominal,contact_rich_insertion,mid_level_subgoal_corruption,4,6,0.253751,0.472954,0.18927,0.260216,0.25116,0.09282,0.14672,0.238493,0.666667,0.0,0.0,0.0,0.333333,0.166667,0.0,0.166667,0.166667,0.166667,0.816917,0.084923,0.333333,0.157171
flat_behavior_clone,nominal,contact_rich_insertion,mid_level_subgoal_corruption,5,6,0.253751,0.472954,0.18927,0.260216,0.25116,0.09282,0.14672,0.238493,0.5,0.333333,0.166667,0.166667,0.333333,0.166667,0.0,0.333333,0.0,0.0,0.825867,0.082629,0.5,-0.264232
