comparison,baseline,mean_success_diff,ci95_success_diff,wins_over_seeds,mean_utility_diff,ci95_utility_diff,utility_wins_over_seeds,seeds,decision
risk_calibrated_hierarchical_containment_v5_vs_anomaly_transformer_attribution,anomaly_transformer_attribution,0.217708,0.012937,10,0.579929,0.014164,10,10,proposed_better
risk_calibrated_hierarchical_containment_v5_vs_causal_event_graph_containment,causal_event_graph_containment,0.156597,0.009004,10,0.402876,0.008321,10,10,proposed_better
risk_calibrated_hierarchical_containment_v5_vs_failure_aware_hierarchical_controller,failure_aware_hierarchical_controller,0.203472,0.010836,10,0.555465,0.014208,10,10,proposed_better
risk_calibrated_hierarchical_containment_v5_vs_flat_behavior_clone,flat_behavior_clone,0.501389,0.009285,10,1.454479,0.015766,10,10,proposed_better
risk_calibrated_hierarchical_containment_v5_vs_hierarchical_pomdp_monitor,hierarchical_pomdp_monitor,0.185677,0.00882,10,0.479409,0.008596,10,10,proposed_better
risk_calibrated_hierarchical_containment_v5_vs_hierarchy_without_containment,hierarchy_without_containment,0.428212,0.011206,10,1.262697,0.024685,10,10,proposed_better
risk_calibrated_hierarchical_containment_v5_vs_local_safety_filter,local_safety_filter,0.349132,0.012857,10,1.025246,0.016415,10,10,proposed_better
risk_calibrated_hierarchical_containment_v5_vs_option_termination_monitor,option_termination_monitor,0.247309,0.009673,10,0.716813,0.01764,10,10,proposed_better
risk_calibrated_hierarchical_containment_v5_vs_oracle_containment_supervisor,oracle_containment_supervisor,-0.076823,0.009156,0,-0.129079,0.010615,0,10,oracle_ceiling
risk_calibrated_hierarchical_containment_v5_vs_proposed_hierarchical_failure_containment_graph_v4,proposed_hierarchical_failure_containment_graph_v4,0.096615,0.009422,10,0.228007,0.010597,10,10,proposed_better
risk_calibrated_hierarchical_containment_v5_vs_reactive_retry_recovery,reactive_retry_recovery,0.329253,0.012407,10,0.939157,0.01442,10,10,proposed_better
risk_calibrated_hierarchical_containment_v5_vs_recovery_budgeted_controller,recovery_budgeted_controller,0.169792,0.013177,10,0.457552,0.014773,10,10,proposed_better
risk_calibrated_hierarchical_containment_v5_vs_robust_mpc_fallback,robust_mpc_fallback,0.209983,0.007745,10,0.587942,0.016211,10,10,proposed_better
risk_calibrated_hierarchical_containment_v5_vs_uncertainty_halt_policy,uncertainty_halt_policy,0.314844,0.01082,10,0.903566,0.016409,10,10,proposed_better
